Кришнаиты                                    | Павлодарское общество сознания Кришны                                                                | -              | Гузачев Леонид Леонидович     | г.Павлодар     | ул.Павлова               | 1-68           | 54-48-89
Православие                                  | Никольский храм г.Павлодар Павлодарской и Экибастузской епархии                                      | Священник      | Миронов Роман Игоревич        | п.Ленинский    | ул.Курмангазы            | 1а, строение 1 | 78-24-63
Православие                                  | Приход Христово-рождественского собора г.Павлодар Павлодарской и Экибастузской епархии               | Епископ        | Варнава                       | г.Павлодар     | ул.К.Маркса              | 175            | -
Православие                                  | Павлодарской и Экибастузской епархии Православной церкви Казахстана                                  | Епископ        | Варнава                       | г.Павлодар     | ул.Торайгырова           | 1/5            | 56-24-34, канцелярия: 65-23-57, церковная лавка: 53-70-73
Православие                                  | Приход Благовещенского кафедрального собора г.Павлодар Павлодарской и Экибастузской епархии          | Епископ        | Варнава                       | г.Павлодар     | ул.Торайгырова           | 1              | 56-24-34, канцелярия: 65-23-57, церковная лавка: 53-70-73
Ислам                                        | Умар әл-Фаруқ мешіті                                                                                 | Имам           | Совет Есимбек                 | г.Павлодар     | проезд Железнодорожников | -              | 63-11-15
Ислам                                        | Дайырбек-ата                                                                                         | Имам           | Самархан Нугыман              | п.Ленинский    | ул.Целинная              | 18             | -
Ислам                                        | Шайқы–ата мешіті                                                                                     | Имам           | Акбас Нурислам Юсупович       | с.Кенжеколь    | ул.Токина                | 4              | 35-25-21
Ислам                                        | Ар Раһман мешіті                                                                                     | Имам           | Уныйбаев Ерлан Жиксимбаевич   | г.Павлодар     | ул.Томская               | 67             | 62-41-56
Ислам                                        | Бижан мешіті                                                                                         | Имам           | Сагинов Самат Айтказинович    | г.Павлодар     | ул. 1 Мая                | 206            | 30-14-95
Ислам                                        | Ғазиз мешіті                                                                                         | Имам           | Утепов Асхат Кажимуратович    | г.Павлодар     | ул.Кирпичная             | 40             | 34-27-30
Ислам                                        | Қасым қажы мешіті                                                                                    | Имам           | Сыздык Ермек Куатович         | с.Павлодарское | ул.Абая                  | 42             | 35-82-22
Ислам                                        | Ысқақ хазрет мешіті                                                                                  | Имам           | Кибашев Кайрат Денденұлы      | п.Ленинский    | ул. Макажанова           | 1              | 33-78-58
Ислам                                        | Әбу Бакір Сыддық мешіті                                                                              | Имам           | Акимбеков Биржан Бахытулы     | г.Павлодар     | ул.Муткенова             | 52/2           | 62-39-85
Ислам                                        | Ақмешіт                                                                                              | Имам           | Каирбеков Нурлан Ефратович    | г.Павлодар     | ул.Маргулана             | 138            | 65-39-90, 61-85-55
Ислам                                        | Машһүр Жүсіп мешіті                                                                                  | Главный имам   | Бертымуратов Жолдас Қоспақұлы | г.Павлодар     | ул.Каирбаева             | 107            | 54-53-53, приемная: 54-51-10, 61-69-90
